#Release 14.7 - par P.20131013 (nt)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Dec 16 21:16:11 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       microblaze_top_map.ncd
#OUTPUT FILE:      microblaze_top_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,Linear_Flash_address<14>,IOB,IO_L83N_VREF_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P2,Linear_Flash_address<13>,IOB,IO_L83P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,3.30,,,,
P5,Linear_Flash_address<12>,IOB,IO_L52N_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P6,Linear_Flash_address<11>,IOB,IO_L52P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P7,Linear_Flash_address<10>,IOB,IO_L51N_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P8,Linear_Flash_address<0>,IOB,IO_L51P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P9,Linear_Flash_address<1>,IOB,IO_L50N_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P10,Linear_Flash_address<2>,IOB,IO_L50P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P11,Linear_Flash_address<3>,IOB,IO_L49N_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P12,Linear_Flash_address<4>,IOB,IO_L49P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P13,,,GND,,,,,,,,,,,,
P14,Linear_Flash_ce_n,IOB,IO_L44N_GCLK20_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P15,Linear_Flash_data<0>,IOB,IO_L44P_GCLK21_3,BIDIR,LVCMOS33,3,12,SLOW,,NONE,,LOCATED,YES,NONE,
P16,Linear_Flash_data<1>,IOB,IO_L43N_GCLK22_IRDY2_3,BIDIR,LVCMOS33,3,12,SLOW,,NONE,,LOCATED,YES,NONE,
P17,Linear_Flash_data<2>,IOB,IO_L43P_GCLK23_3,BIDIR,LVCMOS33,3,12,SLOW,,NONE,,LOCATED,YES,NONE,
P18,,,VCCO_3,,,3,,,,,3.30,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,2.5,,,,
P21,Linear_Flash_data<3>,IOB,IO_L42N_GCLK24_3,BIDIR,LVCMOS33,3,12,SLOW,,NONE,,LOCATED,YES,NONE,
P22,Linear_Flash_we_n,IOB,IO_L42P_GCLK25_TRDY2_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P23,Linear_Flash_address<5>,IOB,IO_L41N_GCLK26_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P24,Linear_Flash_address<6>,IOB,IO_L41P_GCLK27_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P25,,,GND,,,,,,,,,,,,
